appid,category
13530,Partial Controller Support
13540,Single-player
13540,Multi-player
13560,Single-player
13570,Single-player
13580,Single-player
13600,Single-player
13620,Single-player
13620,Multi-player
15000,Single-player
15000,Multi-player
15080,Single-player
15100,Single-player
15100,Partial Controller Support
15120,Single-player
15120,Multi-player
15120,Co-op
15130,Single-player
15160,Single-player
15170,Single-player
15190,Single-player
15200,Single-player
15200,Multi-player
15210,Single-player
15210,Multi-player
15210,Co-op
15240,Single-player
15240,Multi-player
15270,Single-player
15300,Single-player
15300,Co-op
15320,Single-player
15320,Multi-player
15320,Steam Cloud
15320,Includes level editor
15370,Single-player
15380,Single-player
15390,Single-player
15400,Single-player
15400,Steam Achievements
15500,Single-player
15500,Steam Achievements
15500,Partial Controller Support
15520,Single-player
15520,Steam Achievements
15520,Steam Leaderboards
15560,Single-player
15560,Steam Achievements
15560,Full controller support
15560,Steam Leaderboards
15620,Single-player
15620,Multi-player
15620,Co-op
15620,Steam Trading Cards
15620,Steam Cloud
15700,Single-player
15700,Steam Trading Cards
15710,Single-player
15740,Single-player
15740,Steam Achievements
15740,Steam Trading Cards
15740,Partial Controller Support
15750,Single-player
15750,Steam Achievements
15800,Single-player
15800,Steam Achievements
15800,Partial Controller Support
15900,Single-player
15910,Single-player
15920,Single-player
15930,Single-player
15960,Single-player
15970,Single-player
16000,Single-player
16020,Single-player
16030,Single-player
16040,Single-player
16060,Single-player
16100,Single-player
16110,Single-player
16120,Single-player
16130,Single-player
16180,Single-player
16200,Single-player
16450,Single-player
16450,Multi-player
16500,Single-player
16500,Steam Achievements
16600,Single-player
16600,Multi-player
16600,Steam Achievements
16620,Single-player
16710,Single-player
16720,Single-player
16720,Partial Controller Support
16730,Single-player
16810,Single-player
16810,Multi-player
16900,Single-player
16900,Online Multi-Player
16900,Online Co-op
16900,VR Support
16900,Partial Controller Support
17080,Multi-player
17080,Co-op
17100,Single-player
17100,Steam Achievements
17120,Single-player
17120,Steam Achievements
17140,Single-player
17140,Steam Achievements
17180,Single-player
17180,Steam Achievements
17300,Single-player
17330,Single-player
17390,Single-player
17410,Single-player
17410,Full controller support
17410,Partial Controller Support
17430,Single-player
17430,Multi-player
17430,Partial Controller Support
17440,Single-player
17450,Single-player
17460,Single-player
17470,Single-player
17470,Full controller support
17480,Single-player
17500,Multi-player
17500,Co-op
17500,Mods
17500,Mods (require HL2)
17500,Steam Achievements
17500,Steam Workshop
17500,Steam Cloud
17500,Valve Anti-Cheat enabled
17500,Includes level editor
17500,Includes Source SDK
17570,Multi-player
17570,Online Multi-Player
17570,Cross-Platform Multiplayer
17570,Mods
17570,Steam Achievements
17570,Steam Workshop
17570,Steam Cloud
17570,Valve Anti-Cheat enabled
17570,Stats
17570,Includes level editor
17570,Includes Source SDK
17710,Multi-player
17710,Online Multi-Player
17710,Cross-Platform Multiplayer
17710,Steam Achievements
17710,Steam Trading Cards
17710,Steam Workshop
17710,Partial Controller Support
17710,Steam Cloud
17710,Valve Anti-Cheat enabled
17710,Stats
17710,Includes level editor
17740,Multi-player
17740,Cross-Platform Multiplayer
17740,Steam Cloud
17740,Includes level editor
17740,Includes Source SDK
18000,Single-player
18000,Steam Achievements
18020,Single-player
18020,Steam Achievements
18040,Single-player
18040,Shared/Split Screen
18040,Steam Achievements
18040,Partial Controller Support
18040,Steam Cloud
18040,Steam Leaderboards
18050,Single-player
18050,Shared/Split Screen
18050,Steam Achievements
18050,Partial Controller Support
18050,Steam Cloud
18050,Steam Leaderboards
18070,Single-player
18070,Shared/Split Screen
18070,Steam Achievements
18070,Partial Controller Support
18070,Steam Cloud
18070,Steam Leaderboards
18120,Single-player
18120,Steam Achievements
18120,Steam Cloud
18120,Steam Leaderboards
18300,Single-player
18300,Steam Achievements
18300,Steam Trading Cards
18300,Partial Controller Support
18400,Single-player
18400,Steam Trading Cards
18420,Single-player
18470,Single-player
18480,Single-player
18500,Single-player
18500,Steam Achievements
18500,Full controller support
18500,Steam Trading Cards
18600,Single-player
18600,Multi-player
18600,Steam Achievements
18700,Single-player
18700,Steam Achievements
18700,Partial Controller Support
18820,Single-player
18820,Multi-player
18820,Steam Achievements
18820,Steam Trading Cards
18820,Partial Controller Support
18820,Steam Cloud
18820,Stats
19000,Single-player
19020,Single-player
19020,Multi-player
19020,Steam Achievements
19020,Partial Controller Support
19020,Steam Cloud
19030,Single-player
19030,Steam Achievements
19030,Partial Controller Support
19030,Steam Cloud
19030,Steam Leaderboards
19080,Single-player
19200,Single-player
19200,Steam Achievements
19320,Single-player
19320,Steam Achievements
19320,Partial Controller Support
19320,Steam Cloud
19320,Stats
19320,Steam Leaderboards
19500,Single-player
19500,Steam Achievements
19500,Partial Controller Support
19500,Includes level editor
19800,Single-player
19830,Single-player
19900,Single-player
19900,Multi-player
19980,Single-player
20200,Single-player
20200,Multi-player
20200,Steam Achievements
20200,Partial Controller Support
20510,Single-player
20510,Multi-player
20530,Single-player
20530,Multi-player
20530,Steam Cloud
20540,Single-player
20540,Multi-player
20540,Steam Cloud
20550,Single-player
20550,Steam Cloud
20570,Single-player
20570,Multi-player
20570,Co-op
20570,Steam Cloud
20700,Single-player
20700,Steam Achievements
20710,Single-player
20710,Steam Achievements
20820,Single-player
20820,Shared/Split Screen
20820,Steam Achievements
20820,Partial Controller Support
20820,Steam Cloud
20820,Steam Leaderboards
20900,Single-player
20900,Steam Cloud
20920,Single-player
20920,Steam Achievements
20920,Steam Trading Cards
20920,Partial Controller Support
20920,Steam Cloud
20920,Steam Leaderboards
21000,Single-player
21000,Shared/Split Screen
21000,Full controller support
21010,Single-player
21010,Multi-player
21010,Shared/Split Screen
21030,Single-player
21030,Co-op
21030,Partial Controller Support
21090,Single-player
21100,Single-player
21100,Multi-player
21100,Co-op
21100,Steam Achievements
21100,Partial Controller Support
21100,Steam Cloud
21100,Steam Leaderboards
21130,Single-player
21130,Shared/Split Screen
21130,Full controller support
21300,Single-player
21300,Steam Achievements
21400,Single-player
21400,Steam Achievements
21500,Single-player
21640,Single-player
21640,Shared/Split Screen
21640,Steam Achievements
21640,Partial Controller Support
21660,Single-player
21660,Multi-player
21660,Partial Controller Support
21670,Single-player
21670,Multi-player
21670,Partial Controller Support
21670,Steam Cloud
21680,Single-player
21680,Shared/Split Screen
21680,Partial Controller Support
21690,Single-player
21690,Multi-player
21690,Co-op
21690,Steam Achievements
21690,Full controller support
21690,Steam Trading Cards
21690,Steam Cloud
21690,Steam Leaderboards
21780,Single-player
21800,Single-player
21800,Multi-player
21980,Single-player
22000,Single-player
22000,Steam Achievements
22100,Single-player
22100,Steam Trading Cards
22100,Includes level editor
22120,Single-player
22120,Captions available
22130,Single-player
22130,Multi-player
22180,Single-player
22180,Captions available
22200,Single-player
22200,Steam Achievements
22200,Steam Trading Cards
22200,Steam Cloud
22230,Single-player
22230,Multi-player
22230,Steam Achievements
22230,Steam Trading Cards
22230,Partial Controller Support
22230,Steam Cloud
22230,Steam Leaderboards
22300,Single-player
22300,Partial Controller Support
22310,Single-player
22310,Multi-player
22310,Steam Achievements
22310,Steam Cloud
22310,Steam Leaderboards
22320,Single-player
22320,Steam Cloud
22330,Single-player
22330,Steam Cloud
22350,Single-player
22350,Multi-player
22350,Co-op
22350,Steam Achievements
22350,Steam Cloud
22350,Steam Leaderboards
22370,Single-player
22380,Single-player
22380,Steam Achievements
22380,Partial Controller Support
22380,Steam Leaderboards
22450,Partial Controller Support
22450,Steam Cloud
22500,Single-player
22500,Multi-player
22500,Online Multi-Player
22500,Local Multi-Player
22500,Cross-Platform Multiplayer
22500,Steam Achievements
22600,Single-player
22600,Multi-player
22600,Steam Achievements
22600,Partial Controller Support
22600,Steam Cloud
22600,Stats
22600,Steam Leaderboards
22610,Single-player
22610,Co-op
22610,Steam Achievements
22610,Partial Controller Support
22650,Single-player
22650,Co-op
22650,Steam Achievements
22650,Partial Controller Support
22650,Stats
22650,Steam Leaderboards
22670,Single-player
22670,Co-op
22670,Steam Achievements
22670,Partial Controller Support
22670,Stats
22670,Steam Leaderboards
23150,Single-player
23150,Steam Achievements
23300,Single-player
23380,Single-player
23400,Single-player
23420,Single-player
23420,Multi-player
23420,Co-op
23450,Single-player
23460,Single-player
23490,Single-player
23500,Multi-player
23500,Steam Cloud
23530,Single-player
23530,Multi-player
23530,Co-op
23530,Steam Achievements
23530,Full controller support
23530,Steam Cloud
23530,Stats
23600,Single-player
23700,Multi-player
23700,Steam Cloud
24010,Single-player
24010,Steam Achievements
24010,Full controller support
24010,Steam Trading Cards
24010,Steam Workshop
24010,In-App Purchases
24010,Steam Cloud
24010,Steam Leaderboards
24200,Multi-player
24200,MMO
24200,Steam Achievements
