,appid,steamspy_tags
886,12390,Action
887,12390,FPS
888,12390,Shooter
889,12420,Strategy
890,12420,RTS
891,12430,Casual
892,12430,Pinball
893,12440,Adventure
894,12440,Point & Click
895,12440,Comedy
896,12450,Adventure
897,12450,Point & Click
898,12460,Strategy
899,12460,RTS
900,12470,Strategy
901,12470,Trading
902,12470,Pirates
903,12480,Strategy
904,12480,RTS
905,12480,Military
906,12500,Puzzle
907,12500,Match 3
908,12500,Casual
909,12510,Strategy
910,12510,Simulation
911,12520,Simulation
912,12520,Racing
913,12520,Driving
914,12530,Action
915,12530,Strategy
916,12530,Adventure
917,12540,Casual
918,12540,Puzzle
919,12560,Simulation
920,12560,Management
921,12590,Racing
922,12600,Racing
923,12640,RPG
924,12640,Fantasy
925,12640,Party-Based RPG
926,12670,Simulation
927,12670,Casual
928,12710,RPG
929,12710,Action
930,12710,Villain Protagonist
931,12770,RPG
932,12770,Action
933,12770,Adventure
934,12790,Action
935,12790,Adventure
936,12790,Steampunk
937,12810,RPG
938,12810,Villain Protagonist
939,12810,Fantasy
940,12830,Action
941,12830,FPS
942,12830,Tactical
943,13000,Indie
944,13000,Casual
945,13000,Ninja
946,13140,Action
947,13140,Free to Play
948,13140,FPS
949,13200,Action
950,13200,FPS
951,13200,Sci-fi
952,13210,FPS
953,13210,Action
954,13210,Multiplayer
955,13230,FPS
956,13230,Arena Shooter
957,13230,Action
958,13240,Classic
959,13240,FPS
960,13240,Action
961,13250,Classic
962,13250,FPS
963,13250,Action
964,13500,Action
965,13500,Adventure
966,13500,Parkour
967,13520,FPS
968,13520,Action
969,13520,Classic
970,13530,Action
971,13530,Adventure
972,13530,Platformer
973,13540,Action
974,13540,FPS
975,13540,Tactical
976,13560,Stealth
977,13560,Action
978,13560,Third Person
979,13570,Stealth
980,13570,Action
981,13570,Third Person
982,13580,Stealth
983,13580,Action
984,13580,Third Person
985,13600,Action
986,13600,Adventure
987,13600,Parkour
988,13620,Action
989,13620,FPS
990,13620,Tactical
991,15000,Action
992,15000,FPS
993,15000,Tactical
994,15080,Adventure
995,15080,Action
