appid,developer
40200,Sabi Games
40210,Sabi Games
40300,Piranha Bytes
40320,Stormregion
40330,Animation Arts
40340,Animation Arts
40350,Animation Arts
40380,Techland
40390,Piranha Bytes
40400,"Arcen Games, LLC"
40420,"Arcen Games, LLC"
40500,Makivision Games
40700,Amanita Design
40720,Amanita Design
40930,The Odd Gentlemen
40950,FireFly Studios
40970,FireFly Studios
40980,FireFly Studios
40990,Illusion Softworks
41000,Croteam
41070,Croteam
41100,Konstantin Koshutin
41300,Nimbly Games
41400,"Dream Forge Entertainment, LLC"
41500,Runic Games
41600,VIS Interactive
41660,Oasis Games
41680,Independent Programmist Group
41700,GSC Game World
41740,Ice-Pick Lodge
41800,Positech Games
41900,inXile Entertainment
42000,Trinoteam
42120,Fatshark
42140,Fatshark
42170,Fatshark
42210,HeR Interactive
42220,HeR Interactive
42230,HeR Interactive
42500,Dark Water Studios Ltd
42670,Raven Software
42700,Treyarch
42810,Crystal Empire Games
42850,BL-Logic
42890,Kerberos Productions Inc.
42910,Arrowhead Game Studios
42920,NeoCoreGames
42930,1C:InoCo
42940,1C:InoCo
42950,1C:InoCo
42960,Paradox Development Studio
42980,Paradox Development Studio
42990,Kerberos Productions
43000,Double Helix Games
43100,Blue Fang
43190,KTX Software
43500,Realmforge Studios
43600,HeR Interactive
44100,New Star Games Ltd
44350,Codemasters Racing
44350,Feral Interactive (Mac)
44360,Codemasters Birmingham
44600,SimBin Studios AB
44680,SimBin Studios AB
44690,SimBin Studios AB
45000,Cadenza Interactive
45100,Artery Games
45300,Gaijin Entertainment
45400,Nemesys Games
45410,Nemesys Games
45420,Nemesys Games
45450,Nemesys Games
45700,Capcom
45710,Airtight Games
45720,"CAPCOM CO., LTD."
45730,Other Ocean Interactive
45740,Capcom Vancouver
45750,"CAPCOM CO., LTD."
45760,Capcom
45770,Capcom Vancouver
46000,Ludosity
46200,SkyRiver Studios
46250,The Farm 51
46260,Elite Games Team
46270,X-Bow Software
46280,X-Bow Software
46290,1C Entertainment
46340,1C Entertainment
46350,Unicorn Games Studio
46360,1C Entertainment
46370,SoftLab-NSK
46380,Lesta Studio
46400,Headup Games
46400,Clockstone
46410,ClockStone Studios
46440,Radon Labs
46450,Silent Dreams
46480,Microids
46490,Microids
46500,Microids
46510,Microids
46520,Octane Games
46520,Meridian4
46540,Headup Games / Crenetic
46550,MC2
46570,Silent Dreams
46600,Dedication Games
46700,Totem Games
46710,Totem Games
46720,Dagger Games
46730,Dagger Games
46740,Icehole Games
46750,Darkling Room
46760,Totem Games
46770,Muzzy Lane Software
46790,Ntronium Games
46830,Totem games
46840,Totem Games
46850,Dust Devil Studios Inc.
47110,Gogii
47120,Gogiii
47130,Gogii
47400,FireFly Studios
47410,FireFly Studios
47700,EA Los Angeles
47730,BioWare
47780,Visceral Games
47790,Electronic Arts
47800,Stainless Games
47810,BioWare
47870,Criterion Games
47890,The Sims Studio
47920,Slightly Mad Studios
48000,Playdead
48110,Ubisoft Romania
48150,Exkee
48190,Ubisoft Montreal
48240,Blue Byte
48240,Related Designs
48700,TaleWorlds Entertainment
48720,TaleWorlds Entertainment
48800,VStep
48950,Vanguard Games
49000,PlayFirst
49300,Nitro Games
49320,Nitro Games
49470,Stainless Games Ltd
49520,Gearbox Software
49520,Aspyr (Mac)
49520,Aspyr (Linux)
49600,Cold Beam Games
49800,Muse Games
49810,Muse Games
49900,Beatnik Games
50000,Noumenon Games
50130,2K Czech
50130,Feral Interactive (Mac)
50300,YAGER
50510,doublesix
50910,Big Fish Games
50920,Big Fish Games
50930,Big Fish Games
50940,Big Fish Games
50960,Big Fish Games
50970,Big Fish Games
50980,Big Fish Games
50990,Big Fish Games
51000,Big Fish Games
51010,Big Fish Games
51020,Big Fish Games
51030,Big Fish Games
51060,Big Fish Studios
55000,Blendo Games
55040,Blendo Games
55100,Kaos Studios
55100,Digital Extremes
55110,Volition
55140,Double Helix Games
55140,Rainbow Studios
55140,THQ Nordic
55150,Relic
55230,Volition
57000,Over the Top Games
57200,Doctor Entertainment AB
57300,Frictional Games
57620,Gaming Minds Studios
57640,Revolution Software Ltd
57650,Realmforge Studios
57680,Haemimont Games
57690,Haemimont Games
57700,Mediatonic
57740,Coreplay GmbH
57740,Bigmoon Studios
57800,Stickmen Studios
57900,Gearbox Software
58200,Brawsome
58230,Brawsome
58400,Binary Takeover
58520,Cyanide Studios
58550,Cyanide Studios
58560,Pendulo Studios
58570,Pendulo Studios
58610,Eugen Systems
60340,MumboJumbo
60350,MumboJumbo
60600,Source Studio Ltd.
60700,4sdk
60800,"CINEMAX, s.r.o."
61100,YeaBoing
61310,Cipher Prime Studios
61500,Triumph Studios
61510,Triumph Studios
61520,Triumph Studios
61600,Secret Exit Ltd.
61700,Capybara Games
61730,Capybara Games
62000,Firemint
62100,Zoë Mode
63000,Big Sandwich Games
63110,bitComposer Games
63200,Uber Entertainment
63500,Ronimo Games
63610,Cyan Worlds
63650,Cyan Worlds
63660,Cyan Worlds
63700,Gaijin Games
63710,Gaijin Games
63800,Lunar Giant
63900,Ino-Co
63910,Katauri Interactive
63940,1C Entertainment
63960,1C Entertainment
64000,Digitalmindsoft
65070,Red Dot Games
65070,PLAY
65080,Cateia Games
65270,Giants Software
65400,React Games
65500,Streko Graphics
65530,Mind Over Matter Studios
65540,Piranha Bytes
65560,Eggtooth Team
65600,Trine Studios
65600,G3 Community Patch Team
65600,Mad Vulture Games
65610,Spellbound Studios
65710,Centauri Production
65730,Bohemia Interactive
65740,Bohemia Interactive
65780,Bohemia Interactive
65790,Bohemia Interactive
65800,Trendy Entertainment
65930,2K Marin
65980,Firaxis Games
65980,Aspyr (Mac)
65980,Aspyr (Linux)
67000,Dmytry Lavrov
67370,Digital Extremes
70000,800 North and Digital Ranch
70100,exosyphen studios
70110,exosyphen studios
70120,exosyphen studios
70200,I Sioux Game Productions B.V.
70210,I Sioux Game Productions B.V.
70300,Terry Cavanagh
70400,EasyGameStation
70420,EasyGameStation
70500,Grendel Games
70600,Team17 Digital Ltd
70620,Team17 Digital Ltd
70640,Team17 Digital Ltd
70650,Team17 Digital Ltd
70660,Team17 Digital Ltd
70900,Blind Mind Studios
71000,StarWraith 3D Games LLC
71230,SEGA
71240,SEGA
71260,SEGA
71340,Devil's Details
72000,Eyebrow Interactive
72400,Tomkorp Computer Solutions Inc.
72850,Bethesda Game Studios
72900,Clara Lehenaff
73010,Colossal Order Ltd.
73060,Most Wanted Entertainment
73170,Martin Ivanov
73190,Ageod
73210,Paradox Development Studio
73220,BattleGoat Studios
78000,"PopCap Games, Inc."
80000,BlueGiant Interactive
80200,Red Redemption
80300,Ivy Games
80310,Joshua Neurnberger
80330,Wadjet Eye Games
80340,Wadjet Eye Games
80350,Wadjet Eye Games
80360,Wadjet Eye Games
90200,Giants Software
90400,Relentless Software
91100,Digital Reality
91200,11 bit studios
91330,X1 Software
91330,AWAR
91600,Coffee Stain Studios
91700,Streum On Studio
91800,Bacon Wrapped Games
91810,Bacon Wrapped Games
91900,Steel Monkeys
92000,Dark Energy Digital Ltd.
92100,Geoff 'Zag' Keene
92100,Richard Keene
92200,Platine Dispositif
92210,Platine Dispositif
92220,Platine Dispositif
92300,Extend Studio
92400,Copenhagen Game Collective
92600,"WXP Games, LLC"
92700,Black Lion Studios
92800,Zachtronics
92900,Actalogic
93200,Puppygames
94000,Stout Games
94200,Final Form Games
94300,Cockroach Inc.
94400,Messhof
94590,Telltale Games
94620,Straandlooper
95000,SpikySnail
95300,Alientrap
95400,Sparpweed
95400,Codeglue
95700,Peter Brinson and Kurosh ValaNejad
95900,Games Farm
95900,3Division
96000,Colibri Games
96100,Paul Fisch
96200,Kot in Action Creative Artel
96800,IllFonic
96900,Fire Hose Games
97000,Murudai
97100,TimeGate Studios
97110,TimeGate Studios
97120,TimeGate Studios
97130,TimeGate Studios
97330,Stainless Games
98100,Krystian Majewski
98200,Mode 7
98300,Signal Studios
98400,Flying Wild Hog
98500,Game Distillery s.r.o.
98600,Zeroscale
98800,"Gaslamp Games, Inc."
98900,Sigma Team Inc.
99100,Bedlam Games
99120,Killspace Entertainment
99300,Avalanche Studios
99400,Dead Mage
99410,Dead Mage
99700,"Nicalis, Inc."
99900,"Grey Havens, LLC"
99910,"Grey Havens, LLC"
100980,Pilgway
102200,Mystic Box
102400,Michael Brough
102500,Big Huge Games
102500,38 Studios
102600,Robot Entertainment
102810,Vanguard Games
102840,Klei Entertainment
102850,Trapdoor Inc.
104000,Cobra Mobile
104020,Cobra Mobile
104100,Jason Rohrer
104200,Big Fat Alien
104900,Spiral Game Studios
105000,Daedalic Entertainment
105100,State of Play Games
105300,Manic Game Studios
105420,Twisted Pixel Games
105450,Ensemble Studios
105600,Re-Logic
105700,Secret Base
105800,Q-Games Ltd.
107100,Supergiant Games
107200,MinMax Games Ltd.
107300,Zeboyd Games
107310,Zeboyd Games
107410,Bohemia Interactive
107600,Squid In A Box Ltd
108110,Little Green Men Games
108200,Days of Wonder
108210,Days of Wonder
108500,Strange Loop Games
108600,The Indie Stone
108700,Remedy Entertainment
108700,Mountain Sheep
108700,Cornfox & Brothers
108710,Remedy Entertainment
108800,Crytek Studios
109200,Endlessfluff Games
109500,Pixelante Game Studios
109600,Cryptic Studios
109700,Hazardous Software Inc.
110400,Digital Arrow
110500,Digital Eel
110600,PomPom
110610,PomPom
110630,PomPom Games
110800,Team Bondi
110800,Rockstar Leeds
111000,Total Eclipse
111010,Total Eclipse P.C.
111100,Owlchemy Labs
111400,NGD Studios
111600,Mommy's Best Games
112100,Spiderweb Software
113020,Pocketwatch Games
113200,Edmund McMillen and Florian Himsl
113400,Little Orbit
113420,Little Orbit
115100,Double Fine Productions
