appid,genres
50920,Casual;Indie
50930,Casual
50940,Casual
50960,Casual
50970,Casual
50980,Casual
50990,Casual
51000,Casual
51010,Casual;Simulation
51020,Casual
51030,Casual;Indie
51060,Adventure;Casual
55000,Adventure;Indie;Strategy
55040,Indie;Strategy
55100,Action
55110,Action
55140,Racing
55150,Action
55230,Action
57000,Action;Adventure
57200,Casual;Indie
57300,Action;Adventure;Indie
57620,Strategy
57640,Adventure
57650,RPG;Strategy
57680,Action;Adventure
57690,Simulation;Strategy
57700,Action;Casual;Indie
57740,RPG;Simulation;Strategy
57800,Adventure;Casual;Indie
57900,Action
58200,Adventure;Casual;Indie
58230,Adventure;Casual;Indie
58400,Casual;Indie
58520,Sports;Strategy
58550,Strategy
58560,Adventure
58570,Adventure
58610,Strategy
60340,Action;Adventure;Casual
60350,Adventure;Casual;Indie
60600,Action;Indie
60700,Strategy;Indie
60800,RPG
61100,Indie;Casual
61310,Indie;Casual
61500,RPG;Strategy
61510,RPG;Strategy
61520,RPG;Strategy
61600,Indie;Casual
61700,RPG;Strategy
61730,Action;Indie;Casual
62000,Action;Casual
62100,Casual
63000,Action;Casual;Indie;Strategy
63110,Adventure
63200,Action;Strategy;Indie;Sports
63500,Action;Casual;Indie;Strategy
63610,Adventure;Casual
63650,Adventure;Casual
63660,Adventure;Casual
63700,Action;Casual;Indie
63710,Action;Indie
63800,Adventure;Indie;RPG;Strategy
63900,Strategy
63910,RPG;Strategy
63940,Strategy
63960,Strategy
64000,Strategy
65070,Racing;Simulation
65080,Adventure
65270,Simulation
65400,Strategy;Indie
65500,Adventure
65530,RPG;Strategy
65540,Action;RPG
65560,Action
65600,RPG
65610,RPG
65710,Casual
65730,Simulation
65740,Action;Strategy
65780,Action;Simulation;Strategy
65790,Action;Simulation;Strategy
65800,Action;Indie;RPG;Strategy
65930,Action
65980,Strategy
67000,Action;Casual;Indie
67370,Action
70000,Action;Indie
70100,Simulation
70110,Indie;Simulation
70120,Indie
70200,Adventure;Casual;Simulation
70210,Adventure;Casual;Indie;Simulation
70300,Action;Indie
70400,RPG;Indie
70420,Action;RPG;Indie
70500,Action;Adventure;Casual;Indie
70600,Strategy
70620,Sports;Strategy
70640,Strategy
70650,Casual;Strategy
70660,Casual
70900,Indie;Strategy
71000,Action;Indie;Simulation
71230,Action;Racing
71240,Simulation;Sports
71260,Action
71340,Action
72000,Indie
72400,Adventure;Indie
72850,RPG
72900,Adventure;Indie;RPG
73010,Simulation
73060,Strategy
73170,Strategy
73190,Simulation;Strategy
73210,RPG;Simulation;Strategy
73220,Strategy
78000,Strategy;Casual
80000,Action;Indie;Strategy
80200,Casual;Indie;Simulation;Strategy
80300,Adventure;Indie
80310,Adventure;Indie
80330,Adventure;Indie
80340,Adventure;Indie
80350,Adventure;Indie
80360,Adventure;Indie
90200,Simulation
90400,Adventure;Casual
91100,Indie;Racing
91200,Action;Indie;Strategy
91330,Action;Simulation;Strategy
91600,Action;Casual;Indie;Strategy
91700,Action;Indie;RPG
91800,Casual;Indie
91810,Indie;Casual
91900,Action;Racing
92000,Action;Adventure;Indie;Strategy
92100,Indie;Strategy
92200,Action;Indie
92210,Action;Indie
92220,Action;Indie
92300,Action;Indie
92400,Indie
92600,Action;Indie
92700,Action
92800,Indie;Simulation
92900,Simulation
93200,Action;Indie;Strategy
94000,Indie;Casual
94200,Action;Indie
94300,Adventure;Casual;Indie
94400,Action;Indie;Sports
94590,Adventure;Casual
94620,Adventure;Casual
95000,Action;Casual;Indie
95300,Action;Indie
95400,Action;Adventure;Indie
95700,Free to Play;Indie
95900,Action;Simulation
96000,Adventure;Casual;Indie
96100,Action;Casual;Indie
96200,Action;Indie
96800,Action
96900,Action;Indie;Strategy
97000,Indie;Casual
97100,Action
97110,Strategy
97120,Strategy
97130,Strategy
97330,Strategy
98100,Adventure;Indie;Casual
98200,Indie;Strategy
98300,Action;Casual;Simulation;Strategy
98400,Action;Indie
98500,Action;Indie
98600,Action;Casual;Indie;Simulation;Strategy
98800,Casual;Indie;RPG
98900,Action;Casual;Indie;Strategy
99100,Action;RPG
99120,Action
99300,Action
99400,Action;Indie
99410,Action;Indie
99700,Casual;Indie;Strategy
99900,Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG
99910,Adventure;Casual;Free to Play;Massively Multiplayer;Strategy
100980,Animation & Modeling
102200,Adventure;Indie;RPG
102400,Action;Indie;Strategy
102500,Action;RPG
102600,Action;Indie;Strategy
102810,Action;Adventure;Indie
102840,Action;Adventure;Indie
102850,Action;Adventure;Indie
104000,Indie;Strategy
104020,Casual;Indie
104100,Action;Strategy;Indie
104200,Adventure;Indie
104900,Action;Adventure;Indie;RPG
105000,Adventure;Indie
105100,Adventure;Casual;Indie
105300,Casual;Indie
105420,Action;Indie
105450,Simulation;Strategy
105600,Action;Adventure;Indie;RPG
105700,Action;Adventure;Indie
105800,Action;Casual;Indie
107100,Action;Indie;RPG
107200,Action;Indie;RPG;Strategy
107300,RPG;Indie
107310,Indie;RPG
107410,Action;Simulation;Strategy
107600,Action;Casual;Indie
108110,RPG;Simulation
108200,Casual;Indie;Strategy
108210,Casual;Simulation;Strategy
108500,Action;Indie;Strategy
108600,Indie;RPG;Simulation;Early Access
108700,Action;Racing
108710,Action;Adventure
108800,Action
109200,Casual;Indie
109500,Action;Indie
109600,Adventure;Free to Play;Massively Multiplayer;RPG
109700,Indie;Strategy
110400,Indie;Racing
110500,Action;Indie
110600,Action;Indie
110610,Action;Indie
110630,Action;Indie
110800,Adventure;Strategy
111000,Indie;Casual
111010,Adventure;Casual;Indie
111100,Casual;Indie;Racing
111400,Action;Indie
111600,Action;Indie
112100,RPG;Indie
113020,Action;Adventure;Casual;Indie;Strategy
113200,Action;Adventure;Indie;RPG
113400,Action;Free to Play;Massively Multiplayer
113420,Free to Play;Massively Multiplayer;RPG
115100,Adventure;Casual;RPG
115110,Adventure;Indie
115120,Action;Strategy
115200,Strategy
115210,Strategy
115220,Strategy
115320,Action;Adventure
115800,Action;Adventure;Indie
116100,Indie;Racing
200010,Casual;Strategy
200020,Action
200080,Adventure
200130,Casual;Indie;Strategy
200150,Casual;Strategy
200170,Strategy
200190,Adventure;Indie
200210,Action;Free to Play;Indie;Massively Multiplayer;RPG
200230,Racing;Simulation
200260,Action;Adventure
200370,Strategy;Casual
200390,Indie;Strategy
200410,Action;Indie;Simulation
200490,Adventure
200510,Strategy
200550,RPG;Simulation;Strategy
200670,Strategy
200710,Action;Adventure;Indie;RPG
200900,Action;Adventure;Indie
200960,Strategy;RPG;Indie
200980,Strategy;RPG;Indie
200990,Strategy;RPG;Indie
201000,Strategy;RPG;Indie
201010,Strategy;RPG;Indie
201070,Action;Indie;Strategy
201210,Free to Play;RPG;Strategy
201230,Free to Play;Massively Multiplayer;RPG
201290,Strategy
201420,Adventure;Casual;Indie
201480,Action;Indie;RPG
201490,Simulation;Strategy
201510,Racing
201570,Action;Indie
201790,Action;Indie;Strategy
201810,Action
201870,Action;Adventure
202130,Strategy
202200,Indie;Strategy
202310,Racing
202370,Action
202410,Action;Indie
202670,Adventure
202690,Indie;Strategy
