appid,platform
42140,windows
42170,windows
42170,mac
42210,windows
42210,mac
42220,windows
42220,mac
42230,windows
42230,mac
42500,windows
42670,windows
42700,windows
42810,windows
42850,windows
42890,windows
42910,windows
42920,windows
42930,windows
42940,windows
42950,windows
42960,windows
42980,windows
42990,windows
43000,windows
43100,windows
43190,windows
43500,windows
43600,windows
44100,windows
44350,windows
44360,windows
44600,windows
44680,windows
44690,windows
45000,windows
45100,windows
45100,mac
45100,linux
45300,windows
45400,windows
45400,mac
45410,windows
45420,windows
45420,mac
45450,windows
45450,mac
45450,linux
45700,windows
45710,windows
45720,windows
45730,windows
45740,windows
45750,windows
45760,windows
45770,windows
46000,windows
46000,mac
46200,windows
46250,windows
46260,windows
46270,windows
46280,windows
46290,windows
46340,windows
46350,windows
46360,windows
46370,windows
46380,windows
46400,windows
46410,windows
46440,windows
46450,windows
46480,windows
46490,windows
46500,windows
46500,mac
46510,windows
46510,mac
46520,windows
46540,windows
46550,windows
46570,windows
46600,windows
46700,windows
46710,windows
46720,windows
46730,windows
46740,windows
46750,windows
46760,windows
46770,windows
46770,mac
46770,linux
46790,windows
46830,windows
46840,windows
46850,windows
47110,windows
47120,windows
47130,windows
47400,windows
47400,mac
47400,linux
47410,windows
47700,windows
47730,windows
47780,windows
47790,windows
47800,windows
47810,windows
47870,windows
47890,windows
47920,windows
48000,windows
48000,mac
48000,linux
48110,windows
48150,windows
48190,windows
48240,windows
48700,windows
48700,mac
48700,linux
48720,windows
48800,windows
48950,windows
49000,windows
49000,mac
49300,windows
49320,windows
49470,windows
49520,windows
49520,mac
49520,linux
49600,windows
49600,mac
49600,linux
49800,windows
49800,mac
49810,windows
49810,mac
49900,windows
50000,windows
50130,windows
50130,mac
50300,windows
50300,mac
50300,linux
50510,windows
50910,windows
50910,mac
50920,windows
50930,windows
50940,windows
50960,windows
50970,windows
50980,windows
50990,windows
51000,windows
51010,windows
51010,mac
51020,windows
51020,mac
51030,windows
51030,mac
51060,windows
55000,windows
55000,mac
55000,linux
55040,windows
55040,mac
55040,linux
55100,windows
55110,windows
55140,windows
55150,windows
55230,windows
55230,linux
57000,windows
57000,mac
57200,windows
57200,mac
57300,windows
57300,mac
57300,linux
57620,windows
57640,windows
57640,mac
57640,linux
57650,windows
57680,windows
57690,windows
57690,mac
57700,windows
57740,windows
57740,mac
57740,linux
57800,windows
57800,mac
57900,windows
57900,mac
58200,windows
58200,mac
58230,windows
58230,mac
58400,windows
58520,windows
58550,windows
58560,windows
58570,windows
58570,mac
58610,windows
58610,mac
58610,linux
60340,windows
60340,mac
60350,windows
60350,mac
60600,windows
60700,windows
60700,mac
60800,windows
61100,windows
61310,windows
61310,mac
61500,windows
61510,windows
61520,windows
61600,windows
61600,mac
61600,linux
61700,windows
61730,windows
61730,mac
62000,windows
62000,mac
62100,windows
63000,windows
63000,mac
63000,linux
63110,windows
63200,windows
63500,windows
63500,mac
63610,windows
63610,mac
63650,windows
63650,mac
63660,windows
63660,mac
63700,windows
63700,mac
63710,windows
63710,mac
63800,windows
63900,windows
63910,windows
63940,windows
63960,windows
64000,windows
65070,windows
65080,windows
65080,mac
65270,windows
65400,windows
65500,windows
65530,windows
65540,windows
65560,windows
65600,windows
65610,windows
65710,windows
65730,windows
65740,windows
65780,windows
65790,windows
65800,windows
65800,mac
65800,linux
65930,windows
65930,mac
65980,windows
65980,mac
65980,linux
67000,windows
67000,mac
67000,linux
67370,windows
67370,mac
70000,windows
70100,windows
70100,mac
70100,linux
70110,windows
70110,mac
70110,linux
70120,windows
70120,mac
70120,linux
70200,windows
70210,windows
70300,windows
70300,mac
70300,linux
70400,windows
70420,windows
70500,windows
70500,mac
70600,windows
70620,windows
70620,mac
70640,windows
70650,windows
70660,windows
70900,windows
71000,windows
71230,windows
71240,windows
71260,windows
71340,windows
72000,windows
72000,linux
72400,windows
72850,windows
72900,windows
73010,windows
73010,mac
73010,linux
73060,windows
73170,windows
73190,windows
73210,windows
73220,windows
78000,windows
78000,mac
80000,windows
80200,windows
80200,mac
80300,windows
80310,windows
80310,mac
80310,linux
80330,windows
80330,mac
80330,linux
80340,windows
80340,mac
80340,linux
80350,windows
80350,mac
80350,linux
80360,windows
90200,windows
90200,mac
90400,windows
91100,windows
91200,windows
91200,mac
91200,linux
91330,windows
91600,windows
91600,mac
91700,windows
91800,windows
91810,windows
91900,windows
92000,windows
92100,windows
92200,windows
92210,windows
92220,windows
92300,windows
92400,windows
92600,windows
92700,windows
92800,windows
92800,mac
92800,linux
92900,windows
93200,windows
93200,mac
93200,linux
94000,windows
94200,windows
94200,mac
94300,windows
94300,mac
94400,windows
94400,mac
94590,windows
94590,mac
94620,windows
94620,mac
95000,windows
95000,mac
95000,linux
95300,windows
95300,mac
95300,linux
95400,windows
95400,mac
95400,linux
95700,windows
95700,mac
95900,windows
96000,windows
96000,mac
96000,linux
96100,windows
96200,windows
96200,linux
96800,windows
96900,windows
97000,windows
97000,mac
97000,linux
97100,windows
97110,windows
97120,windows
97130,windows
97330,windows
98100,windows
98100,mac
98200,windows
98200,mac
98200,linux
98300,windows
98400,windows
98500,windows
98600,windows
98600,mac
98800,windows
98800,mac
98800,linux
98900,windows
99100,windows
99120,windows
99300,windows
99400,windows
99410,windows
99700,windows
99700,mac
99700,linux
99900,windows
99900,mac
99910,windows
99910,mac
100980,windows
102200,windows
102400,windows
102400,mac
102500,windows
102600,windows
102810,windows
102840,windows
102840,mac
102840,linux
102850,windows
104000,windows
104000,mac
104020,windows
104020,mac
104100,windows
104100,mac
104200,windows
104900,windows
105000,windows
105000,mac
105100,windows
105100,mac
105300,windows
105300,mac
105420,windows
105450,windows
105600,windows
105600,mac
105600,linux
105700,windows
105800,windows
107100,windows
107100,mac
107100,linux
107200,windows
107200,mac
107200,linux
107300,windows
107310,windows
107410,windows
107600,windows
108110,windows
108200,windows
108200,mac
108200,linux
108210,windows
108500,windows
108600,windows
108600,mac
108600,linux
108700,windows
108710,windows
108800,windows
109200,windows
109500,windows
109600,windows
109700,windows
110400,windows
110500,windows
110500,mac
110600,windows
110610,windows
110630,windows
110800,windows
111000,windows
111000,mac
111000,linux
111010,windows
111010,mac
111010,linux
111100,windows
111100,mac
111100,linux
111400,windows
111600,windows
112100,windows
112100,mac
112100,linux
113020,windows
113020,mac
113020,linux
113200,windows
113200,mac
113400,windows
113420,windows
115100,windows
115100,mac
115100,linux
115110,windows
115110,mac
115110,linux
115120,windows
115200,windows
115210,windows
115220,windows
115320,windows
115800,windows
115800,mac
115800,linux
116100,windows
116100,mac
200010,windows
200020,windows
200080,windows
200080,mac
200130,windows
200150,windows
200170,windows
200190,windows
200210,windows
200210,mac
200230,windows
200260,windows
200260,mac
200370,windows
200390,windows
200390,mac
200390,linux
200410,windows
200490,windows
200510,windows
200510,mac
200510,linux
200550,windows
200670,windows
200710,windows
200710,mac
200710,linux
200900,windows
200900,linux
200960,windows
200980,windows
200990,windows
201000,windows
201010,windows
201070,windows
201210,windows
201210,mac
201230,windows
201290,windows
201420,windows
201420,mac
201420,linux
201480,windows
201490,windows
201510,windows
201570,windows
201790,windows
201810,windows
201870,windows
202130,windows
202200,windows
202310,windows
202370,windows
202410,windows
202410,mac
202670,windows
202670,mac
202690,windows
202710,windows
202730,windows
202730,mac
202730,linux
202750,windows
202860,windows
202970,windows
203140,windows
203140,mac
203160,windows
203160,mac
203160,linux
203210,windows
203210,mac
203210,linux
203290,windows
203350,windows
203350,mac
203510,windows
203560,windows
203560,mac
203560,linux
203630,windows
203650,windows
203680,windows
203750,windows
203770,windows
203770,mac
203770,linux
203830,windows
203830,mac
203990,windows
203990,linux
204030,windows
204060,windows
204060,mac
204060,linux
204100,windows
204120,windows
204180,windows
204180,mac
204180,linux
204220,windows
204220,mac
204220,linux
204240,windows
204240,mac
204240,linux
204300,windows
204300,mac
204300,linux
204340,windows
204360,windows
204360,mac
204390,windows
204440,windows
204440,mac
204530,windows
204530,mac
204560,windows
204580,windows
204630,windows
204630,mac
204630,linux
204760,windows
204860,windows
204880,windows
204940,windows
204960,windows
205020,windows
205020,mac
205060,windows
205060,mac
205070,windows
205070,mac
205080,windows
205080,mac
205090,windows
205090,mac
205100,windows
205190,windows
205230,windows
205270,windows
205530,windows
205530,mac
205550,windows
205550,mac
205610,windows
205650,windows
205690,windows
205690,mac
205710,windows
205730,windows
205730,mac
205730,linux
205810,windows
205830,windows
205840,windows
205870,windows
205870,mac
205910,windows
205910,mac
205910,linux
205950,windows
205990,windows
205990,mac
205990,linux
206020,windows
206040,windows
206060,windows
206190,windows
206190,mac
206190,linux
206210,windows
206230,windows
206250,windows
206370,windows
206370,mac
206370,linux
206410,windows
206420,windows
206420,linux
206440,windows
206440,mac
206440,linux
206480,windows
206480,mac
206500,windows
206610,windows
206610,mac
206690,windows
206690,mac
206690,linux
207000,windows
207000,mac
207020,windows
207080,windows
207080,mac
207140,windows
207140,mac
207140,linux
207170,windows
207170,mac
207170,linux
207190,windows
207230,windows
207250,windows
207250,mac
207250,linux
207320,windows
207350,windows
207370,windows
207380,windows
207400,windows
207420,windows
207420,mac
207420,linux
207430,windows
207430,mac
207490,windows
207530,windows
207570,windows
207570,mac
207570,linux
207650,windows
207650,mac
207650,linux
207670,windows
207670,mac
207690,windows
207690,mac
207710,windows
207710,mac
207730,windows
207750,windows
207750,mac
207750,linux
207790,windows
207930,windows
208110,windows
208110,mac
208140,windows
208140,mac
208200,windows
208400,windows
208400,mac
208460,windows
208500,windows
208520,windows
208520,mac
208580,windows
208580,mac
208580,linux
208600,windows
208600,mac
208620,windows
208630,windows
208640,windows
208650,windows
208670,windows
208670,mac
208710,windows
208730,windows
208750,windows
208750,mac
208750,linux
209000,windows
209060,windows
209060,linux
209080,windows
209080,mac
209080,linux
209100,windows
209120,windows
209160,windows
209190,windows
209190,mac
