,appid,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
7445,422210,18,12,0,0,10000
7446,422250,324,238,249,288,350000
7447,422270,8,18,0,0,10000
7448,422300,16,5,0,0,10000
7449,422420,91,440,0,0,150000
7450,422500,71,23,0,0,10000
7451,422510,74,5,0,0,10000
7452,422590,13,33,0,0,10000
7453,422610,29,23,449,449,10000
7454,422630,158,80,0,0,150000
7455,422640,17,29,0,0,10000
7456,422650,65,17,0,0,35000
7457,422760,63,11,0,0,10000
7458,422810,1285,425,8,8,75000
7459,422860,161,22,0,0,10000
7460,422870,1000,441,157,168,350000
7461,422900,470,40,0,0,35000
7462,422910,133,8,0,0,10000
7463,422920,67,7,0,0,10000
7464,422940,72,51,0,0,10000
7465,422970,4462,222,216,399,350000
7466,422980,24,5,0,0,10000
7467,423120,206,26,0,0,10000
7468,423180,4,14,0,0,10000
7469,423220,20,2,0,0,10000
7470,423230,4199,474,535,682,750000
7471,423270,29,9,0,0,10000
7472,423320,71,15,0,0,10000
7473,423440,35,2,0,0,10000
7474,423490,286,75,0,0,10000
7475,423550,80,28,0,0,75000
7476,423580,1724,400,224,351,350000
7477,423590,369,52,150,150,35000
7478,423600,18,3,0,0,10000
7479,423610,120,33,0,0,10000
7480,423620,351,97,0,0,35000
7481,423650,50,28,0,0,10000
7482,423700,26,41,0,0,35000
7483,423710,115,151,237,239,750000
7484,423720,13,1,0,0,10000
7485,423730,10,1,0,0,10000
7486,423740,28,10,0,0,35000
7487,423750,24,9,0,0,10000
7488,423760,69,43,0,0,75000
7489,423770,101,43,0,0,35000
7490,423780,6,2,0,0,10000
7491,423800,34,14,0,0,10000
7492,423810,381,160,0,0,150000
7493,423870,31,8,0,0,10000
7494,423880,6791,793,10,11,350000
7495,423890,419,183,1,1,150000
7496,423900,98,90,0,0,75000
7497,423950,470,217,0,0,150000
7498,424000,56,85,400,402,350000
7499,424010,18,2,0,0,10000
7500,424030,1212,319,0,0,75000
7501,424040,21,2,0,0,10000
7502,424060,8,12,0,0,10000
7503,424100,7,3,0,0,10000
7504,424170,39,9,0,0,35000
7505,424200,15,0,0,0,10000
7506,424210,12,3,0,0,10000
7507,424250,288,76,0,0,35000
7508,424260,42,28,0,0,10000
7509,424280,13889,277,10647,76,1500000
7510,424310,1,0,0,0,10000
