appid,publisher
32710,THQ Nordic
32720,NovaLogic
32720,THQ Nordic
32730,NovaLogic
32730,THQ Nordic
32740,NovaLogic
32740,THQ Nordic
32750,NovaLogic
32750,THQ Nordic
32760,NovaLogic
32760,THQ Nordic
32770,NovaLogic
32770,THQ Nordic
32900,Enlight Software Limited
33100,Sigma Team Inc.
33110,Sigma Team Inc.
33120,Sigma Team Inc.
33130,Sigma Team Inc.
33180,Sigma Team Inc.
33230,Ubisoft
33320,Ubisoft
33390,Ubisoft
33460,Ubisoft
33520,Kalypso Media Digital
33570,Kalypso Media Digital
33600,Revolution Software Ltd
33610,Revolution Software Ltd
33620,Kalypso Media Digital
33650,Puzzler
33660,Kalypso Media Digital
33670,Kalypso Media Digital
33680,Zaratustra Productions
33760,ValuSoft
33760,Retroism
33770,Valusoft
33790,ValuSoft
33900,Bohemia Interactive
33930,Bohemia Interactive
33950,Bohemia Interactive
33980,Bohemia Interactive
33990,Bohemia Interactive
34010,SEGA
34030,SEGA
34030,Feral Interactive (Mac)
34190,SEGA
34410,1C Entertainment
34420,1C Entertainment
34500,SaintXi
34600,Square Enix
34630,Matrix Games/GMX Media
34640,Wargaming.net
34800,City Interactive S.A.
34810,CI Games
34820,CI Games
34830,CI Games
34870,CI Games
34900,Strategy First
34920,Strategy First
35000,Square Enix
35070,Square Enix
35130,Square Enix
35140,Warner Bros. Interactive Entertainment
35140,Feral Interactive (Mac)
35300,Game Factory Interactive
35310,Game Factory Interactive
35320,Game Factory Interactive
35450,Tripwire Interactive
35460,Tripwire Interactive
35480,Tripwire Interactive
35600,Frima
35700,Frozenbyte
35720,Frozenbyte
35800,Digital Eel
36000,Sakari Indie
36100,Sandlot Games
36130,Sandlot Games
36180,Sandlot Games
36210,Sandlot Games
36240,Sandlot Games
36300,Sandlot Games
36310,Sandlot Games
36320,Sandlot Games
36900,3000AD
36910,3000AD
37000,Ice-Pick Lodge
37010,ND Games
37010,bitComposer Games
37030,ND Games
37100,Citeremis Inc.
37210,PlayFirst
37220,PlayFirst
37230,PlayFirst
37240,PlayFirst
37260,PlayFirst
37270,PlayFirst
37280,PlayFirst
37300,PlayFirst
37310,PlayFirst
37320,PlayFirst
37330,PlayFirst
37340,PlayFirst
37370,PlayFirst
37380,PlayFirst
37390,PlayFirst
37400,Size Five Games
37500,Yullaby
37600,Vectorpark
37700,Phantom EFX
37800,Gamerizon
37960,iWin
38000,iWin
38070,iWin
38080,iWin
38090,iWin
38100,iWin
38110,iWin
38120,iWin
38130,iWin
38140,iWin
38150,iWin
38160,iWin
38170,iWin
38180,iWin
38190,iWin
38210,SouthPeak Games
38230,Toplitz Productions
38400,Bethesda Softworks
38410,Bethesda Softworks
38420,Bethesda Softworks
38430,Interplay Inc.
38450,Interplay Inc.
38460,Interplay Inc.
38490,Interplay Inc.
38600,Subsoap
38700,Two Tribes Publishing
38720,Two Tribes Publishing
38740,Two Tribes Publishing
39000,NASA
39110,Square Enix
39120,Trion Worlds
39140,Square Enix
39150,Square Enix
39190,Square Enix
39200,Square Enix
39210,Square Enix
39500,THQ Nordic
39510,THQ Nordic
39520,THQ Nordic
39540,THQ Nordic
39560,THQ Nordic
39630,THQ Nordic
39640,THQ Nordic
39650,THQ Nordic
39660,THQ Nordic
39670,THQ Nordic
39680,THQ Nordic
39690,THQ Nordic
39800,DiezelPower
39900,ZoopTEK
40100,Square Enix
40200,Sabi Games
40210,Sabi Games
40300,Deep Silver
40320,Deep Silver
40330,Deep Silver
40340,Deep Silver
40350,Deep Silver
40380,Deep Silver
40390,Deep Silver
40400,"Arcen Games, LLC"
40420,"Arcen Games, LLC"
40500,Makivision Games
40700,Amanita Design
40720,Amanita Design
40930,2K
40950,FireFly Studios
40970,FireFly Studios
40980,FireFly Studios
40990,2K
41000,Devolver Digital
41070,Devolver Digital
41100,KranX Productions
41300,Nimbly Games
41400,"Dream Forge Entertainment, LLC"
41500,Runic Games
41600,Interplay Inc.
41660,Interplay Inc.
41680,Interplay Inc.
41700,GSC Game World
41740,Ice-Pick Lodge
41740,bitComposer Games
41740,Viva Media
41740,Nordic Games
41800,Positech Games
41900,inXile Entertainment
42000,LoadComplete
42120,Fatshark
42140,Fatshark
42170,Fatshark
42210,HeR Interactive
42220,HeR Interactive
42230,HeR Interactive
42500,Instinct Software Ltd.
42670,Activision
42700,Activision
42810,Paradox Interactive
42850,Paradox Interactive
42890,Paradox Interactive
42910,Paradox Interactive
42920,Paradox Interactive
42930,1C Entertainment
42940,1C Entertainment
42950,1C Entertainment
42960,Paradox Interactive
42980,Paradox Interactive
42990,Paradox Interactive
43000,Square Enix
43100,HandyGames
43190,Signo & Arte
43500,Kalypso Media Digital
43600,HeR Interactive
44100,New Star Games Ltd
44350,Codemasters
44350,Feral Interactive (Mac)
44360,Codemasters
44600,SimBin
44680,RaceRoom Entertainment AG
44680,SimBin
44690,SimBin
45000,Cadenza Interactive
45100,Artery Games
45300,Gaijin Entertainment
45400,Nemesys Games
45410,Nemesys Games
45420,Nemesys Games
45450,Nemesys Games
45700,Capcom
45710,Capcom
45720,Capcom
45730,Capcom
45740,Capcom
45750,Capcom
45760,Capcom
45770,Capcom
46000,Ludosity
46200,1C Entertainment
46250,1C Entertainment
46260,1C Entertainment
46270,1C Entertainment
46280,1C Entertainment
46290,1C Entertainment
46340,1C Entertainment
46350,1C Entertainment
46360,1C Entertainment
46370,1C Entertainment
46380,1C Entertainment
46400,Headup Games
46410,Meridian4
46440,Radon Labs
46450,Headup
46480,Microids
46490,Microids
46500,Microids
46510,Microids
46520,Meridian4
46540,Headup Games 
46550,Microids
46570,Headup
46600,Dedication Games
46700,Strategy First
46710,Strategy First
46720,Strategy First
46730,Strategy First
46740,Strategy First
46750,Iceberg Interactive
46760,Strategy First
46770,Factus Games
46790,Iceberg Interactive
46830,Strategy First
46840,Strategy First
46850,Strategy First
47110,iWin
47120,iWin
47130,iWin
47400,FireFly Studios
47410,FireFly Studios
47700,Electronic Arts
47730,Electronic Arts
47780,Electronic Arts
47790,Electronic Arts
47800,Electronic Arts
47810,Electronic Arts
47870,Electronic Arts
47890,Electronic Arts
47920,Electronic Arts
48000,Playdead
48110,Ubisoft
48150,Ubisoft
48190,Ubisoft
48240,Ubisoft
48700,TaleWorlds Entertainment
48720,TaleWorlds Entertainment
48800,Paradox Interactive
48950,Vanguard Entertainment Group
49000,PlayFirst
49300,Nitro Games
49320,Nitro Games
49470,Wizards of the Coast LLC
49520,2K
49520,Aspyr (Mac)
49520,Aspyr (Linux)
49600,Cold Beam Games
49800,Muse Games
49810,Muse Games
49900,Beatnik Games
50000,Noumenon Games
50130,2K
50130,Feral Interactive (Mac)
50300,2K
50300,Missing Link Games
50510,P2 Games
50910,Big Fish Games
50920,Big Fish Games
50930,Big Fish Games
50940,Big Fish Games
50960,Big Fish Games
50970,Big Fish Games
50980,Big Fish Games
50990,Big Fish Games
51000,Big Fish Games
51010,Big Fish Games
51020,Big Fish Games
51030,Big Fish Games
51060,Big Fish Games
55000,Blendo Games
55040,Blendo Games
55100,Deep Silver
55110,THQ Nordic
55140,THQ Nordic
55150,SEGA
55230,Deep Silver
57000,Over the Top Games
57200,Doctor Entertainment AB
57300,Frictional Games
57620,Kalypso Media Digital
57640,Revolution Software Ltd
57650,Kalypso Media Digital
57680,Kalypso Media Digital
57690,Kalypso Media Digital
57700,Kalypso Media Digital
57740,THQ Nordic
57800,Stickmen Studios
57900,2K
58200,Brawsome
58230,Brawsome
58400,Binary Takeover
58520,Focus Home Interactive
58550,Focus Home Interactive
58550,1C-SoftClub
58560,Focus Home Interactive
58570,Focus Home Interactive
58570,1C-SoftClub
58610,Eugen Systems
60340,MumboJumbo
60350,MumboJumbo
60600,Source Studio Ltd.
60700,4sdk
60800,"CINEMAX, s.r.o."
61100,YeaBoing
61310,Cipher Prime Studios
61500,Paradox Interactive
61510,Paradox Interactive
61520,Paradox Interactive
61600,Secret Exit Ltd.
61700,Ubisoft
61730,Capybara Games
62000,Firemint
62100,OneBigGame
63000,Big Sandwich Games
63110,Viva Media
63200,Uber Entertainment
63500,Ronimo Games
63610,Cyan Worlds
63650,Cyan Worlds
63660,Cyan Worlds
63700,Gaijin Games
63710,Gaijin Games
63800,Lunar Giant Studios
63900,1C Entertainment
63910,1C Entertainment
63940,1C Entertainment
63940,1C-SoftClub
63960,1C Entertainment
